Type,Severity,StartTime(UTC),EndTime(UTC),Road/Highway,County,ZipCode
Rain,Light,11/10/2017 13:53,11/10/2017 14:44,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/10/2017 14:44,11/10/2017 15:00,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/10/2017 15:00,11/10/2017 15:36,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/10/2017 15:36,11/10/2017 16:00,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/10/2017 16:00,11/10/2017 16:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/10/2017 16:53,11/10/2017 17:49,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/10/2017 18:23,11/10/2017 18:31,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/11/2017 3:46,11/11/2017 4:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/13/2017 4:53,11/13/2017 5:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/13/2017 7:53,11/13/2017 9:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/13/2017 11:53,11/13/2017 13:22,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/13/2017 13:53,11/13/2017 15:20,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/13/2017 16:21,11/13/2017 16:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/13/2017 16:53,11/13/2017 17:05,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/13/2017 17:05,11/13/2017 17:23,US/Pacific McKinleyville,Humboldt,95519
Rain,Moderate,11/13/2017 17:23,11/13/2017 18:03,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/13/2017 18:03,11/13/2017 19:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/13/2017 21:53,11/13/2017 22:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/14/2017 5:23,11/14/2017 5:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/15/2017 11:53,11/15/2017 12:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/15/2017 17:53,11/15/2017 19:53,US/Pacific McKinleyville,Humboldt,95519
Rain,Light,11/15/2017 21:53,11/15/2017 23:41,US/Pacific McKinleyville,Humboldt,95519
