Direction,CountyCode,DistrictNumber,Latitude,Longitude
SOUTHBOUND,LUC,2,41.653963,-83.553034
BOTH DIRECTIONS,POR,4,41.309547,-81.132695
SOUTHBOUND,WOO,2,41.550483,-83.604071
BOTH DIRECTIONS,ERI,3,41.3574,-82.634883
BOTH DIRECTIONS,BEL,11,40.071155,-80.877089
EASTBOUND,ERI,3,41.32898,-82.478089
BOTH DIRECTIONS,CUY,12,41.393391,-81.510315
BOTH DIRECTIONS,SCI,9,38.835817,-82.851183
EASTBOUND,HOC,10,39.413524,-82.648387
BOTH DIRECTIONS,HAS,11,40.190989,-80.996302
BOTH DIRECTIONS,GUE,5,40.053103,-81.325309
SOUTHBOUND,CUY,12,41.493418,-81.683112
BOTH DIRECTIONS,HAS,11,40.264176,-80.983256
WESTBOUND,STA,4,40.82957,-81.394614
BOTH DIRECTIONS,MOE,10,39.846243,-81.023725
BOTH DIRECTIONS,HAM,8,39.104959,-84.504583
BOTH DIRECTIONS,WAR,8,39.543948,-84.063248
BOTH DIRECTIONS,JEF,11,40.37199,-80.60966
BOTH DIRECTIONS,ALL,1,40.627757,-82.333005
WESTBOUND,ATH,10,39.516267,-82.156166
BOTH DIRECTIONS,FRA,6,39.954099,-82.989285
NORTHBOUND,SUM,4,41.060573,-81.504431
NORTHBOUND,MEG,10,39.062242,-81.813065
NORTHBOUND,MOE,10,39.676386,-80.880468
BOTH DIRECTIONS,SUM,4,41.061702,-81.52662
BOTH DIRECTIONS,BUT,8,39.398603,-84.452285
BOTH DIRECTIONS,COS,5,40.273157,-81.739337
BOTH DIRECTIONS,STA,4,40.76967,-81.338921
BOTH DIRECTIONS,HAM,8,39.125108,-84.535983
EASTBOUND,SUM,4,41.061672,-81.506796
NORTHBOUND,FRA,6,39.950654,-83.016378
BOTH DIRECTIONS,ATB,4,41.524395,-80.868042
BOTH DIRECTIONS,STA,4,40.882227,-81.431531
BOTH DIRECTIONS,WAR,8,39.336646,-84.282077
SOUTHBOUND,LUC,2,41.674441,-83.574994
BOTH DIRECTIONS,LOR,3,41.394533,-82.004742
BOTH DIRECTIONS,CUY,12,41.480009,-81.661771
BOTH DIRECTIONS,WAS,10,39.562199,-81.44942
BOTH DIRECTIONS,MOT,7,39.876146,-84.234465
NORTHBOUND,MOE,10,39.73725,-81.116559
BOTH DIRECTIONS,WAS,10,39.584839,-81.647436
SOUTHBOUND,SUM,4,41.063161,-81.505375
BOTH DIRECTIONS,BRO,9,38.686237,-83.745581
BOTH DIRECTIONS,LAK,12,41.725616,-81.268959
BOTH DIRECTIONS,HIG,9,39.200853,-83.602912
BOTH DIRECTIONS,HOL,11,40.476794,-81.980156
BOTH DIRECTIONS,JEF,11,40.374704,-80.6126
BOTH DIRECTIONS,BEL,11,40.073966,-80.967386
BOTH DIRECTIONS,HAM,8,39.103197,-84.499687
BOTH DIRECTIONS,SCI,9,38.770986,-82.872565
BOTH DIRECTIONS,CUY,12,41.498514,-81.705228
NORTHBOUND,GRE,8,39.579451,-83.68306
BOTH DIRECTIONS,WAS,10,39.281224,-81.624693
BOTH DIRECTIONS,MRG,10,39.531448,-81.769992
