ROAD WORK ID,FROM_DATE,TO_DATE,STREET_ADDRESS
RC53,2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,1742 BERRY BLVD
RC54,2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,1742 BERRY BLVD
RC55,2020-02-18T00:00:00.000Z,2020-04-30T00:00:00.000Z,1733 BROWNSBORO RD
RC56,2019-12-02T00:00:00.000Z,2020-04-30T00:00:00.000Z,123 N 11TH ST
RC57,2020-02-12T00:00:00.000Z,2020-05-15T00:00:00.000Z,2532 W BROADWAY
RC58,2020-02-12T00:00:00.000Z,2020-05-15T00:00:00.000Z,865 S 26TH ST
RC59,2020-02-18T00:00:00.000Z,2020-05-15T00:00:00.000Z,3237 W BROADWAY
RC60,2020-02-18T00:00:00.000Z,2020-05-15T00:00:00.000Z,3237 W BROADWAY
RC61,2020-02-21T00:00:00.000Z,2020-05-15T00:00:00.000Z,810 N ENGLISH STATION RD
RC62,2020-02-26T00:00:00.000Z,2020-05-15T00:00:00.000Z,2600 STANLEY GAULT PKY Unit 101
RC63,2020-02-18T00:00:00.000Z,2020-05-18T00:00:00.000Z,4538 S 3RD ST
RC64,2019-12-11T00:00:00.000Z,2020-05-31T00:00:00.000Z,1800 BROWNSBORO RD
RC65,2020-02-24T00:00:00.000Z,2020-06-24T00:00:00.000Z,12911 FACTORY LN
RC66,2019-02-01T00:00:00.000Z,2020-06-30T00:00:00.000Z,309 W BRANDEIS AVE
RC67,2020-01-20T00:00:00.000Z,2020-08-31T00:00:00.000Z,3808 HILLCROSS DR
RC68,2020-01-20T00:00:00.000Z,2020-08-31T00:00:00.000Z,4100 MUD LN
RC69,2019-12-30T00:00:00.000Z,2020-12-31T00:00:00.000Z,3800 CRITTENDEN DR
RC70,2020-02-03T00:00:00.000Z,2020-03-31T00:00:00.000Z,601 W Jefferson ST
RC71,2020-02-03T00:00:00.000Z,2020-03-31T00:00:00.000Z,704 BARRET AVE
RC72,2020-02-14T00:00:00.000Z,2020-03-31T00:00:00.000Z,1414 S 7TH ST
RC73,2020-02-14T00:00:00.000Z,2020-03-31T00:00:00.000Z,812 W MAGNOLIA AVE
RC74,2020-02-16T00:00:00.000Z,2020-03-31T00:00:00.000Z,718 S 4TH ST
RC75,2020-02-17T00:00:00.000Z,2020-03-31T00:00:00.000Z,615 W BRECKINRIDGE ST
RC76,2020-02-10T00:00:00.000Z,2020-03-09T00:00:00.000Z,2229 PIRTLE ST
RC77,2020-02-18T00:00:00.000Z,2020-03-31T00:00:00.000Z,211 W HILL ST Unit 1
RC78,2020-02-20T00:00:00.000Z,2020-03-31T00:00:00.000Z,207 W BROADWAY
RC79,2020-02-21T00:00:00.000Z,2020-03-31T00:00:00.000Z,8406 HUDSON LN
RC80,2020-02-21T00:00:00.000Z,2020-03-31T00:00:00.000Z,1248 E BROADWAY
RC81,2020-01-02T00:00:00.000Z,2020-03-31T00:00:00.000Z,500 E JEFFERSON ST Unit 101
RC82,2019-10-07T00:00:00.000Z,2020-03-31T00:00:00.000Z,200 N SHELBY ST
RC83,2019-10-07T00:00:00.000Z,2020-03-31T00:00:00.000Z,270 N CAMPBELL ST
RC84,2020-01-06T00:00:00.000Z,2020-03-02T00:00:00.000Z,14318 OLD HENRY RD
RC85,2020-02-17T00:00:00.000Z,2020-03-16T00:00:00.000Z,1651 DIXDALE AVE
RC86,2019-12-11T00:00:00.000Z,2020-03-31T00:00:00.000Z,901 W MAGNOLIA AVE
RC87,2019-12-26T00:00:00.000Z,2020-03-31T00:00:00.000Z,218 W MUHAMMAD ALI BLVD
RC88,2019-12-31T00:00:00.000Z,2020-03-31T00:00:00.000Z,100 W MARKET ST
RC89,2020-02-03T00:00:00.000Z,2020-04-01T00:00:00.000Z,731 W WASHINGTON ST
RC90,2020-02-19T00:00:00.000Z,2020-04-01T00:00:00.000Z,101 W MUHAMMAD ALI BLVD
RC91,2020-01-13T00:00:00.000Z,2020-04-03T00:00:00.000Z,222 S 4TH ST
RC92,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,300 S 1ST ST
RC93,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,100 N 6TH ST
RC94,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,615 W SHIPP AVE
RC95,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,701 W JEFFERSON ST
