ROAD WORK ID,FROM_DATE,Local Authority Reference,Works Type,Category Of Works
RC125,2020-02-12T00:00:00.000Z,LA00435593,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC126,2020-01-01T00:00:00.000Z,LA00436758,HIGHWAYS ACT PERMITS,Skip Licence
RC127,2020-01-01T00:00:00.000Z,LA00437542,MINOR,Streetworks
RC128,2020-01-01T00:00:00.000Z,LA00378173,MINOR,Streetworks
RC129,2020-01-01T00:00:00.000Z,LA00425424,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC130,2020-01-01T00:00:00.000Z,LA00427550,HIGHWAYS ACT PERMITS,Building Licence
RC131,2020-01-01T00:00:00.000Z,LA00435665,STANDARD,Streetworks
RC132,2020-02-03T00:00:00.000Z,LA00388855,MAJOR,Streetworks
RC133,2020-02-03T00:00:00.000Z,LA00434598,MAJOR,Streetworks
RC134,2020-02-03T00:00:00.000Z,LA00436362,ROAD RESTRICTION,Streetworks
RC135,2020-02-03T00:00:00.000Z,LA00434601,MAJOR,Streetworks
RC136,2020-02-03T00:00:00.000Z,LA00437460,MINOR,Streetworks
RC137,2020-02-03T00:00:00.000Z,LA00437338,HIGHWAYS ACT PERMITS,Building Licence
RC138,2020-02-17T00:00:00.000Z,LA00433595,HIGHWAYS ACT PERMITS,Building Licence
RC139,2020-02-17T00:00:00.000Z,LA00435419,MAJOR,Streetworks
RC140,2020-02-24T00:00:00.000Z,LA00430483,HIGHWAYS ACT PERMITS,Building Licence
RC141,2020-02-24T00:00:00.000Z,LA00437099,HIGHWAYS ACT PERMITS,Crane Operation
RC142,2020-02-24T00:00:00.000Z,LA00436082,HIGHWAYS ACT PERMITS,Crane Operation
RC143,2020-02-24T00:00:00.000Z,LA00437810,HIGHWAYS ACT PERMITS,Other
RC144,2020-02-24T00:00:00.000Z,LA00403232,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC145,2020-02-24T00:00:00.000Z,LA00425779,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC146,2019-12-30T00:00:00.000Z,LA00436312,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC147,2019-12-30T00:00:00.000Z,LA00429903,STANDARD,Streetworks
RC148,2019-12-30T00:00:00.000Z,LA00436047,STANDARD,Streetworks
RC149,2019-12-30T00:00:00.000Z,LA00435758,STANDARD,Streetworks
RC150,2020-01-01T00:00:00.000Z,LA00378143,HIGHWAYS ACT PERMITS,Building Licence
RC151,2020-01-01T00:00:00.000Z,LA00435762,MAJOR,Streetworks
RC152,2020-01-01T00:00:00.000Z,LA00431200,MAJOR,Streetworks
RC153,2020-01-02T00:00:00.000Z,LA00436644,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC154,2020-01-02T00:00:00.000Z,LA00368697,HIGHWAYS ACT PERMITS,Building Licence
RC155,2020-01-02T00:00:00.000Z,LA00367417,HIGHWAYS ACT PERMITS,Building Licence
RC156,2020-01-06T00:00:00.000Z,LA00436012,MAJOR,Streetworks
RC157,2020-01-07T00:00:00.000Z,LA00434096,MAJOR,Streetworks
RC158,2020-01-08T00:00:00.000Z,LA00420045,HIGHWAYS ACT PERMITS,Crane Operation
RC159,2020-01-09T00:00:00.000Z,LA00437555,MINOR,Streetworks
RC160,2020-01-09T00:00:00.000Z,LA00432891,MAJOR,Streetworks
RC161,2020-01-13T00:00:00.000Z,LA00437333,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC162,2020-01-20T00:00:00.000Z,LA00434260,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC163,2020-01-20T00:00:00.000Z,LA00432889,MAJOR,Streetworks
RC164,2020-01-22T00:00:00.000Z,LA00437622,MINOR,Streetworks
RC165,2020-01-22T00:00:00.000Z,LA00437574,HIGHWAYS ACT PERMITS,Building Licence
RC166,2020-01-23T00:00:00.000Z,LA00431385,HIGHWAYS ACT PERMITS,Building Licence
RC167,2020-02-10T00:00:00.000Z,LA00434937,HIGHWAYS ACT PERMITS,Building Licence
RC168,2020-02-17T00:00:00.000Z,LA00429088,STANDARD,Streetworks
RC169,2020-01-06T00:00:00.000Z,LA00436293,STANDARD,Streetworks
RC170,2020-02-10T00:00:00.000Z,LA00418369,MAJOR,Streetworks
RC171,2020-02-11T00:00:00.000Z,LA00434523,MAJOR,Streetworks
RC172,2020-01-06T00:00:00.000Z,LA00432137,HIGHWAYS ACT PERMITS,Crane Operation
RC173,2020-02-11T00:00:00.000Z,LA00428081,HIGHWAYS ACT PERMITS,Crane Operation
RC174,2020-02-11T00:00:00.000Z,LA00436614,STANDARD,Streetworks
RC175,2020-02-11T00:00:00.000Z,LA00436262,MAJOR,Streetworks
RC176,2020-02-11T00:00:00.000Z,LA00437745,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC177,2020-02-12T00:00:00.000Z,LA00434253,MAJOR,Streetworks
RC178,2020-02-27T00:00:00.000Z,LA00437530,MINOR,Streetworks
RC179,2020-02-27T00:00:00.000Z,LA00434050,MAJOR,Streetworks
RC180,2020-02-27T00:00:00.000Z,LA00434930,MAJOR,Streetworks
RC181,2020-02-27T00:00:00.000Z,LA00437068,MAJOR,Streetworks
RC182,2020-02-27T00:00:00.000Z,LA00436020,STANDARD,Streetworks
RC183,2020-01-13T00:00:00.000Z,LA00424319,HIGHWAYS ACT PERMITS,Building Licence
RC184,2020-02-27T00:00:00.000Z,LA00434534,MINOR,Streetworks
RC185,2020-02-27T00:00:00.000Z,LA00437059,MAJOR,Streetworks
RC186,2020-01-05T00:00:00.000Z,LA00437496,HIGHWAYS ACT PERMITS,Building Licence
RC187,2019-12-12T00:00:00.000Z,LA00421797,MAJOR,Streetworks
RC188,2020-02-14T00:00:00.000Z,LA00424325,HIGHWAYS ACT PERMITS,Building Licence
RC189,2020-02-14T00:00:00.000Z,LA00432890,MAJOR,Streetworks
RC190,2020-02-14T00:00:00.000Z,LA00426272,MAJOR,Streetworks
RC191,2020-02-14T00:00:00.000Z,LA00437656,MAJOR,Streetworks
RC192,2020-02-14T00:00:00.000Z,LA00420764,MAJOR,Streetworks
RC193,2020-02-14T00:00:00.000Z,LA00435475,MAJOR,Streetworks
RC194,2020-02-17T00:00:00.000Z,LA00434533,MAJOR,Streetworks
RC195,2020-02-15T00:00:00.000Z,LA00435254,MAJOR,Streetworks
RC196,2020-01-15T00:00:00.000Z,LA00435477,MAJOR,Streetworks
RC197,2020-01-15T00:00:00.000Z,LA00434083,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC198,2020-01-31T00:00:00.000Z,LA00435664,STANDARD,Streetworks
RC199,2020-01-31T00:00:00.000Z,LA00435416,MAJOR,Streetworks
RC200,2020-01-02T00:00:00.000Z,LA00435670,MINOR,Streetworks
RC201,2020-01-20T00:00:00.000Z,LA00426271,MAJOR,Streetworks
RC202,2020-01-20T00:00:00.000Z,LA00429436,STANDARD,Streetworks
RC203,2020-02-17T00:00:00.000Z,LA00398696,HIGHWAYS ACT PERMITS,Building Licence
RC204,2020-02-17T00:00:00.000Z,LA00426065,MAJOR,Streetworks
RC205,2020-02-17T00:00:00.000Z,LA00436666,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC206,2020-02-17T00:00:00.000Z,LA00426420,HIGHWAYS ACT PERMITS,Building Licence
RC207,2020-02-17T00:00:00.000Z,LA00436628,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC208,2020-02-17T00:00:00.000Z,LA00429288,HIGHWAYS ACT PERMITS,Building Licence
RC209,2020-02-17T00:00:00.000Z,LA00426298,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC210,2020-02-17T00:00:00.000Z,LA00435476,MAJOR,Streetworks
RC211,2020-01-13T00:00:00.000Z,LA00394965,MAJOR,Streetworks
RC212,2020-01-20T00:00:00.000Z,LA00436289,STANDARD,Streetworks
RC213,2020-02-03T00:00:00.000Z,LA00435421,MAJOR,Streetworks
RC214,2020-02-03T00:00:00.000Z,LA00428925,MAJOR,Streetworks
RC215,2020-02-03T00:00:00.000Z,LA00435584,MAJOR,Streetworks
RC216,2020-02-03T00:00:00.000Z,LA00437335,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC217,2020-02-03T00:00:00.000Z,LA00426783,MINOR,Streetworks
RC218,2020-02-03T00:00:00.000Z,LA00435678,MAJOR,Streetworks
RC219,2020-02-03T00:00:00.000Z,LA00436111,STANDARD,Streetworks
RC220,2020-02-03T00:00:00.000Z,LA00435754,MAJOR,Streetworks
RC221,2020-02-03T00:00:00.000Z,LA00329315,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC222,2020-02-03T00:00:00.000Z,LA00435682,MAJOR,Streetworks
RC223,2020-02-03T00:00:00.000Z,LA00437446,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC224,2020-02-03T00:00:00.000Z,LA00437269,MAJOR,Streetworks
RC225,2020-02-03T00:00:00.000Z,LA00401782,HIGHWAYS ACT PERMITS,Building Licence
RC226,2020-02-03T00:00:00.000Z,LA00428113,HIGHWAYS ACT PERMITS,Building Licence
RC227,2020-02-03T00:00:00.000Z,LA00436272,STANDARD,Streetworks
RC228,2020-02-03T00:00:00.000Z,LA00415664,HIGHWAYS ACT PERMITS,Building Licence
RC229,2020-02-03T00:00:00.000Z,LA00437162,MINOR,Streetworks
RC230,2020-02-03T00:00:00.000Z,LA00437070,MAJOR,Streetworks
RC231,2020-02-03T00:00:00.000Z,LA00435447,STANDARD,Streetworks
RC232,2020-02-03T00:00:00.000Z,LA00430423,MAJOR,Streetworks
RC233,2020-02-03T00:00:00.000Z,LA00435997,MAJOR,Streetworks
RC234,2020-02-10T00:00:00.000Z,LA00398180,HIGHWAYS ACT PERMITS,Building Licence
RC235,2020-02-17T00:00:00.000Z,LA00434546,MINOR,Streetworks
RC236,2020-02-17T00:00:00.000Z,LA00433070,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC237,2020-02-17T00:00:00.000Z,LA00433408,MAJOR,Streetworks
RC238,2020-02-17T00:00:00.000Z,LA00436982,HIGHWAYS ACT PERMITS,Building Licence
RC239,2020-02-24T00:00:00.000Z,LA00434603,MAJOR,Streetworks
RC240,2019-12-19T00:00:00.000Z,LA00425287,HIGHWAYS ACT PERMITS,Building Licence
RC241,2020-02-04T00:00:00.000Z,LA00436504,STANDARD,Streetworks
RC242,2020-02-05T00:00:00.000Z,LA00434903,MAJOR,Streetworks
RC243,2020-02-05T00:00:00.000Z,LA00397054,MINOR,Streetworks
RC244,2020-02-05T00:00:00.000Z,LA00411741,HIGHWAYS ACT PERMITS,Building Licence
RC245,2020-02-05T00:00:00.000Z,LA00434744,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC246,2020-01-28T00:00:00.000Z,LA00433054,MAJOR,Streetworks
RC247,2020-02-03T00:00:00.000Z,LA00435763,MAJOR,Streetworks
RC248,2020-02-17T00:00:00.000Z,LA00435449,HIGHWAYS ACT PERMITS,Building Licence
RC249,2020-02-17T00:00:00.000Z,LA00433068,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC250,2020-02-17T00:00:00.000Z,LA00437633,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC251,2020-02-24T00:00:00.000Z,LA00432752,HIGHWAYS ACT PERMITS,Building Licence
RC252,2020-02-08T00:00:00.000Z,LA00436192,HIGHWAYS ACT PERMITS,Building Licence
RC253,2019-12-07T00:00:00.000Z,LA00388834,MAJOR,Streetworks
RC254,2019-12-07T00:00:00.000Z,LA00434396,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC255,2020-02-20T00:00:00.000Z,LA00437778,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC256,2020-02-20T00:00:00.000Z,LA00433350,MAJOR,Streetworks
RC257,2020-02-20T00:00:00.000Z,LA00436896,MINOR,Streetworks
RC258,2020-02-20T00:00:00.000Z,LA00424401,MINOR,Streetworks
RC259,2020-02-21T00:00:00.000Z,LA00429897,MINOR,Streetworks
RC260,2020-02-21T00:00:00.000Z,LA00433460,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC261,2020-02-21T00:00:00.000Z,LA00434501,STANDARD,Streetworks
RC262,2020-02-28T00:00:00.000Z,LA00434098,MAJOR,Streetworks
RC263,2020-02-28T00:00:00.000Z,LA00422490,MAJOR,Streetworks
RC264,2020-02-28T00:00:00.000Z,LA00418363,MAJOR,Streetworks
RC265,2020-01-27T00:00:00.000Z,LA00425290,HIGHWAYS ACT PERMITS,Building Licence
RC266,2020-01-27T00:00:00.000Z,LA00429930,HIGHWAYS ACT PERMITS,Building Licence
RC267,2020-01-27T00:00:00.000Z,LA00431624,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC268,2020-01-27T00:00:00.000Z,LA00435681,HIGHWAYS ACT PERMITS,Building Licence
RC269,2020-01-27T00:00:00.000Z,LA00431549,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC270,2020-01-27T00:00:00.000Z,LA00394407,MAJOR,Streetworks
RC271,2020-01-29T00:00:00.000Z,LA00435768,MAJOR,Streetworks
RC272,2020-02-24T00:00:00.000Z,LA00437631,STANDARD,Streetworks
RC273,2020-02-24T00:00:00.000Z,LA00436299,STANDARD,Streetworks
RC274,2020-02-24T00:00:00.000Z,LA00432711,HIGHWAYS ACT PERMITS,Building Licence
RC275,2020-02-24T00:00:00.000Z,LA00434693,STANDARD,Streetworks
RC276,2020-02-24T00:00:00.000Z,LA00435684,HIGHWAYS ACT PERMITS,Building Licence
RC277,2020-02-24T00:00:00.000Z,LA00432435,MAJOR,Streetworks
RC278,2020-02-24T00:00:00.000Z,LA00433111,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC279,2020-02-24T00:00:00.000Z,LA00433360,MAJOR,Streetworks
RC280,2020-02-24T00:00:00.000Z,LA00431387,MAJOR,Streetworks
RC281,2020-02-24T00:00:00.000Z,LA00429489,HIGHWAYS ACT PERMITS,Building Licence
RC282,2020-02-24T00:00:00.000Z,LA00437486,MINOR,Streetworks
RC283,2020-02-24T00:00:00.000Z,LA00435044,MAJOR,Streetworks
RC284,2020-02-24T00:00:00.000Z,LA00435991,MAJOR,Streetworks
RC285,2020-02-24T00:00:00.000Z,LA00433763,HIGHWAYS ACT PERMITS,Building Licence
RC286,2020-02-24T00:00:00.000Z,LA00437724,HIGHWAYS ACT PERMITS,Crane Operation
RC287,2020-02-24T00:00:00.000Z,LA00435578,MAJOR,Streetworks
RC288,2020-02-24T00:00:00.000Z,LA00421999,MAJOR,Streetworks
RC289,2020-02-24T00:00:00.000Z,LA00435466,MAJOR,Streetworks
RC290,2020-02-24T00:00:00.000Z,LA00426210,HIGHWAYS ACT PERMITS,Building Licence
RC291,2020-02-24T00:00:00.000Z,LA00431323,MINOR,Streetworks
RC292,2020-02-24T00:00:00.000Z,LA00429279,HIGHWAYS ACT PERMITS,Building Licence
RC293,2020-02-24T00:00:00.000Z,LA00434973,MINOR,Streetworks
RC294,2020-02-24T00:00:00.000Z,LA00388854,MAJOR,Streetworks
RC295,2020-02-25T00:00:00.000Z,LA00437554,STANDARD,Streetworks
RC296,2020-02-26T00:00:00.000Z,LA00375139,HIGHWAYS ACT PERMITS,Building Licence
RC297,2020-02-26T00:00:00.000Z,LA00435589,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
RC298,2020-02-26T00:00:00.000Z,LA00394405,MAJOR,Streetworks
RC299,2020-02-26T00:00:00.000Z,LA00427428,STANDARD,Streetworks
RC300,2020-02-26T00:00:00.000Z,LA00433779,MAJOR,Streetworks
RC301,2020-02-26T00:00:00.000Z,LA00418370,MAJOR,Streetworks
,,LA00434291,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00436288,MINOR,Streetworks
,,LA00432043,MAJOR,Streetworks
,,LA00435486,STANDARD,Streetworks
,,LA00436141,ROAD RESTRICTION,Streetworks
,,LA00428167,HIGHWAYS ACT PERMITS,Building Licence
,,LA00432709,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00435012,MAJOR,Streetworks
,,LA00436946,STANDARD,Streetworks
,,LA00433059,HIGHWAYS ACT PERMITS,Building Licence
,,LA00436624,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00435225,HIGHWAYS ACT PERMITS,Building Licence
,,LA00435473,MINOR,Streetworks
,,LA00435442,STANDARD,Streetworks
,,LA00400148,HIGHWAYS ACT PERMITS,Building Licence
,,LA00423418,MAJOR,Streetworks
,,LA00430735,HIGHWAYS ACT PERMITS,Building Licence
,,LA00437178,HIGHWAYS ACT PERMITS,Temporary Traffic Restriction
,,LA00436044,STANDARD,Streetworks
,,LA00436069,MAJOR,Streetworks
,,LA00436493,MAJOR,Streetworks
,,LA00437744,MAJOR,Streetworks
,,LA00421622,MAJOR,Streetworks
,,LA00435308,MINOR,Streetworks
,,LA00437743,STANDARD,Streetworks
