Accident Ref No.,Casualty Class,Sex of Casualty
10BA0001702,Passenger,Female
10CA0001926,Driver,Male
10CA0001926,Passenger,Male
10CA0001926,Passenger,Male
10MU0001700,Driver,Male
10AA0002071,Pedestrian,Female
10BA0001665,Passenger,Female
10BA0001934,Pedestrian,Male
10BA0002235,Driver,Male
10BA0002235,Driver,Male
10BA0002235,Passenger,Male
10BA0002235,Passenger,Male
10BA0002235,Passenger,Female
10MU0001832,Passenger,Male
10AA0001714,Passenger,Female
10AA0001735,Pedestrian,Male
10AA0001766,Driver,Female
10AA0001774,Driver,Male
10BA0002293,Driver,Female
10MU0002013,Driver,Female
10BA0001736,Driver,Male
10BA0001736,Driver,Female
10CA0001764,Passenger,Female
10CA0001924,Driver,Male
10MU0001750,Driver,Female
10AA0001822,Driver,Male
10AA0002103,Driver,Male
10BA0001837,Passenger,Female
10CA0001757,Pedestrian,Male
10CA0001768,Driver,Male
10CA0001811,Passenger,Male
10CA0001813,Driver,Male
10CA0001813,Driver,Male
10CA0001813,Passenger,Female
10CA0001813,Passenger,Male
10CA0001813,Passenger,Male
10CA0001813,Passenger,Female
10CA0001933,Passenger,Male
10AA0001805,Driver,Female
10AA0001918,Passenger,Male
10AA0002171,Driver,Male
10AA0002221,Driver,Male
10BA0001930,Driver,Female
10CA0001796,Pedestrian,Male
10MU0001815,Driver,Female
10AA0002501,Driver,Male
10BA0001821,Pedestrian,Female
10CA0001872,Pedestrian,Male
10CA0002041,Driver,Male
10CA0002041,Passenger,Female
10AA0001949,Driver,Male
10BA0001840,Driver,Female
10BA0002216,Pedestrian,Male
10CA0001846,Driver,Male
10BA0001824,Driver,Female
10BA0001824,Driver,Female
10BA0001824,Passenger,Female
10BA0001867,Driver,Male
10BA0002227,Driver,Male
10CA0001835,Driver,Male
10CA0001835,Driver,Male
10AA0001955,Driver,Male
10BA0001819,Driver,Female
10AA0001927,Passenger,Female
10AA0002101,Driver,Male
10BA0001917,Driver,Female
10BA0001919,Driver,Male
10BA0001925,Pedestrian,Male
10BA0002043,Driver,Female
10AA0001981,Passenger,Female
10AA0002075,Passenger,Male
10AA0002084,Driver,Male
